EventId,EventTemplate,Occurrences
fc386368,2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ main] o.s.b.a.e.web.EndpointLinksResolver : Exposing <*> endpoint(s) beneath base path '/actuator',7
09bdf515,2021-<*>-<*> <*>:<*>:<*>.<*> INFO <*> <*> --- [ main] <*> : Started <*> in <*>.<*> seconds (JVM running for <*>.<*>),6
b4040e25,"2021-<*>-<*> <*>:<*>:<*>.<*> WARN <*> <*> --- <*> .w.s.m.s.DefaultHandlerExceptionResolver : Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [<*>] in public org.springframework.samples.petclinic.customers.model.Owner org.springframework.samples.petclinic.customers.web.OwnerResource.createOwner(org.springframework.samples.petclinic.customers.model.Owner): [Field error in object 'owner' on field 'telephone': rejected value [<*>]; codes [Digits.owner.telephone,Digits.telephone,Digits.java.lang.String,Digits]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [owner.telephone,telephone]; arguments []; default message [telephone],<*>,<*>]; default message [numeric value out of bounds (<<*> digits>.<<*> digits> expected)]] ]",181
7eccbb1a,"<*> - - [<*>/Jun/<*>:<*>:<*>:<*> <*>] ""POST /tot43/DESKTOP-JGLLJLF_W10016299.1CF3DD28B304BBF734B33FBDF1762BBE/<*>/ HTTP/<*>.<*>"" <*> <*> ""-"" ""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>"" <*> <*>.<*> [] [] - - - - 0cb9e483c3c75bf4fdb422d5397a5be<*>",1
4f38793c,2021-<*>-<*> <*>:<*>:<*>+<*>:<*> [Note] [Entrypoint]: Entrypoint script for MySQL Server <*>.<*>.<*>-1debian9 started.,40
1cb844e0,2021-<*>-<*> <*>:<*>:<*>+<*>:<*> [Note] [Entrypoint]: Switching to dedicated user 'mysql',20
5edbc687,"2021-<*>-<*> <*>:<*>:<*>+<*>:<*> [Note] [Entrypoint]: Initializing database files PLEASE REMEMBER TO SET A PASSWORD FOR THE MySQL root USER ! To do so, start the server, then issue the following commands: /usr/bin/mysqladmin -u root password 'new-password' /usr/bin/mysqladmin -u root -h <*> password 'new-password' Alternatively you can run: /usr/bin/mysql_secure_installation which will also give you the option of removing the test databases and anonymous user created by default. This is strongly recommended for production servers. See the manual for more instructions. Please report any problems at http://bugs.mysql.com/ The latest information about MySQL is available on the web at http://www.mysql.com Support MySQL by buying support/licenses at http://shop.mysql.com Note: new default config file not created. Please make sure your config file is current WARNING: Default config file /etc/mysql/my.cnf exists on the system This file will be read by default by the MySQL server If you do not want to use this, either remove it, or use the --defaults-file argument to mysqld_safe when starting the server",20
0ea2cd0a,2021-<*>-<*> <*>:<*>:<*> <*> [Warning] TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).,80
a83942b0,2021-<*>-<*> <*>:<*>:<*> <*> [Note] Ignoring --secure-file-priv value as server is running with --bootstrap.,40
64226c7d,2021-<*>-<*> <*>:<*>:<*> <*> [Note] <*> (mysqld <*>.<*>.<*>) starting as process <*> ...,80
